height,block_hash,block_time,interval
15,00000000b3322c8c3ef7d2cf6da009a776e6a99ee65ec5a32f3f345712238473,1231562746,1452.6166666666666
28,00000000bb0d9430d3d1bab474be5050342161efcca9f7e45b151bff9a700944,1231601457,514.7333333333333
79,0000000086e318e8c348dad73199bb6fac8cc1effb9c872a7dda49c5caca0021,1231645607,165.88333333333333
163,0000000066fd802a02909e8918fb85943836ce5d99000bdcd8128a06070d140a,1231714917,174.21666666666667
169,000000002a22cfee1f2c846adbd12b3e183d4f97683f85dad08a79780a84bd55,1231730523,222.36666666666667
1296,000000009a4aed3e8ba7a978c6b50fea886fb496d66e696090a91d527200b002,1232582734,188.26666666666668
1389,000000006a9a61f62ab4af162ed30272930c2acfc1139d6666455e60569a0a5c,1232682580,143.45
1390,00000000dd431bce4cf36326ee8b51a7136ebcf664976ba7087bf7d8f3ce0f5d,1232696035,224.25
1398,00000000a8df21790d4785b6b2b9625f452ded9a3cec75b3160377aba5edceeb,1232721688,211.15
1916,00000000800cca5d11742408e3965a84424269df7cecca5896649b1521d22297,1232960632,155.1
1917,00000000272568d8ad613b7f441fef896b912d21bca7ad2e18348e8b0ce483e7,1232972398,196.1
8211,00000000d14ed5bff1d83c8fadccbdb206de78167a4c477330ca4da1e50ac6f2,1237623395,190.71666666666667
8226,000000001d0998f0ebe37d8518d71098603e3897bc2b69d7ca75dcb380af405b,1237657580,175.15
8231,0000000081ac433c596a735022c5e1f19afcce061a68da4e8547521f647e5ca4,1237683291,214.66666666666666
11964,0000000078d2d3825e6f12f22009d615954b3f59e42a29a18e922a374080021f,1240482438,223.76666666666668
11966,00000000b6e560049fb607dac3b5fc12cdfbbc38f3da35936770e47df9617383,1240496093,186.9
13082,00000000255a14c61ec1664de04580b1b05e06f3b17d9efab0b3f92d2eb6df83,1241319154,146.86666666666667
13889,00000000b4ec7a38d98af46f6c853a6c2147376453bd29e25034403a9fdcd833,1241910410,208.86666666666667
13898,00000000ad66cc0d6f4381a74fe99dac4efebe51985857deabd75c2411aca232,1241944972,196.36666666666667
15048,00000000a5f02b494d57da70f62350156d1bf1075b387e83d0bca1628dfb0efb,1242766676,422.93333333333334
